Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.28,10.50,10.10,10.38,3066600,10.38
2015-10-08,10.80,10.97,10.12,10.29,3646100,10.29
2015-10-07,10.44,11.17,10.33,10.97,4220500,10.97
2015-10-06,11.75,11.80,10.74,10.76,3602700,10.76
2015-10-05,11.88,12.11,11.66,11.94,2970700,11.94
2015-10-02,13.13,13.28,12.25,12.32,2608000,12.32
2015-10-01,11.66,12.90,11.59,12.66,3642700,12.66
2015-09-30,12.71,12.83,12.25,12.47,1813700,12.47
2015-09-29,12.76,12.88,12.31,12.59,1505800,12.59
2015-09-28,12.90,13.12,12.58,13.04,1545100,13.04
2015-09-25,12.32,12.67,12.01,12.45,1794500,12.45
2015-09-24,13.25,13.33,12.68,12.71,1630700,12.71
2015-09-23,11.95,13.10,11.68,12.96,2522700,12.96
2015-09-22,12.40,12.57,12.04,12.18,2549300,12.18
2015-09-21,12.26,12.43,11.77,11.98,1946100,11.98
2015-09-18,12.40,13.11,12.25,12.79,3182400,12.79
2015-09-17,11.64,12.00,11.40,11.87,2977000,11.87
2015-09-16,12.44,12.64,11.54,11.67,3256300,11.67
2015-09-15,13.28,13.52,12.89,13.08,1958400,13.08
2015-09-14,13.30,13.65,13.20,13.44,1702000,13.44
2015-09-11,13.07,13.31,12.63,12.96,3153100,12.96
2015-09-10,13.07,13.35,12.32,12.50,2252600,12.50
2015-09-09,12.49,13.39,12.41,13.28,2056600,13.28
2015-09-08,12.63,13.16,12.18,12.45,2689300,12.45
2015-09-04,12.19,12.52,11.96,12.38,2724700,12.38
2015-09-03,12.15,12.43,11.14,11.95,4095700,11.95
2015-09-02,12.35,13.96,12.01,12.37,5331500,12.37
2015-09-01,11.96,13.05,11.75,12.85,6452700,12.85
2015-08-31,13.68,14.35,11.00,11.33,6878900,11.33
2015-08-28,15.53,15.54,12.91,13.28,4354200,13.28
2015-08-27,17.99,17.99,15.15,15.26,4000700,15.26
2015-08-26,18.68,19.26,18.18,18.84,1931600,18.84
2015-08-25,18.15,19.01,18.02,19.00,2678500,19.00
2015-08-24,19.43,20.059999,18.540001,19.76,3703600,19.76
2015-08-21,17.200001,18.18,16.93,17.780001,3386000,17.780001
2015-08-20,16.98,17.459999,16.610001,17.40,2485000,17.40
2015-08-19,16.00,17.299999,15.91,17.27,2331900,17.27
2015-08-18,16.16,16.35,15.49,15.88,1905900,15.88
2015-08-17,15.90,16.309999,15.65,16.25,2191600,16.25
2015-08-14,15.63,16.040001,15.42,16.040001,1953400,16.040001
2015-08-13,15.38,16.040001,15.38,15.84,1590100,15.84
2015-08-12,14.90,15.40,14.80,15.07,1221500,15.07
2015-08-11,14.96,15.43,14.91,15.00,1526700,15.00
2015-08-10,14.97,15.04,14.07,14.20,1405100,14.20
2015-08-07,14.56,14.94,14.46,14.86,1508300,14.86
2015-08-06,14.31,14.62,14.22,14.28,1512300,14.28
2015-08-05,13.47,14.21,13.11,13.98,1765600,13.98
2015-08-04,13.64,13.85,13.42,13.64,939100,13.64
2015-07-31,12.25,13.12,12.20,13.04,2021500,13.04
2015-07-30,12.06,12.30,11.85,12.24,1037600,12.24
2015-07-29,12.71,12.73,11.71,12.04,2141000,12.04
2015-07-28,12.81,12.98,12.27,12.64,1870200,12.64
2015-07-27,12.75,13.00,12.59,12.99,1665300,12.99
2015-07-24,12.18,12.65,12.17,12.40,1675200,12.40
2015-07-23,11.82,12.40,11.73,12.21,1541300,12.21
2015-07-22,11.50,11.99,11.25,11.94,2037800,11.94
2015-07-21,11.29,11.35,10.94,11.17,1197400,11.17
2015-07-20,11.14,11.47,11.12,11.45,1227500,11.45
2015-07-17,11.03,11.34,11.00,11.08,1580400,11.08
2015-07-16,10.60,11.07,10.58,11.00,1166700,11.00
2015-07-15,10.46,10.89,10.25,10.78,2298800,10.78
2015-07-14,10.67,10.71,10.06,10.21,1938400,10.21
2015-07-13,10.58,10.65,10.10,10.47,1942400,10.47
2015-07-10,10.30,10.56,10.13,10.26,1677800,10.26
2015-07-09,10.11,10.45,9.98,10.23,1447600,10.23
2015-07-08,10.32,11.02,10.27,10.64,2425100,10.64
2015-07-07,10.39,11.14,10.01,10.18,3480700,10.18
2015-07-06,9.71,10.40,9.70,10.25,2485400,10.25
2015-07-03,9.06,9.45,9.06,9.36,761000,9.36
2015-07-02,8.82,9.10,8.70,9.09,2096600,9.09
2015-06-30,8.45,8.53,8.21,8.31,1388200,8.31
2015-06-29,8.58,8.66,8.46,8.65,1357500,8.65
2015-06-26,8.39,8.46,8.17,8.25,1410000,8.25
